Measurement,Unit,Ingredient,Directions
1.5,c,Self-rising Flour,Heat oven to 350 F.
1,c,Cake Flour,Cream butter and sugar until light and fluffy.
0.25,c,Cocoa Powder,Add all other ingredients and stir.
1,t,Baking soda,Bake it.
1,c,Butter,
2,c,Sugar,
4,singles,Eggs,
1,c,Buttermilk,
1,T,Vanilla Extract,
2,T,Red Food Coloring,
