Measurement,Unit,Ingredient,Directions
1.5,c,Self-rising Flour,Heat oven to 350 F.
1.25,c,Cake Flour,Cream butter and sugar until light and fluffy.
1,c,Butter,Add all other ingredients and stir.
2,c,Sugar,Bake it.
4,singles,Eggs,
1,c,Milk,
1,T,Vanilla Extract,
